text,label
what is the second law of thermodynamics,define
define mitosis,define
what does GDP mean,define
give the definition of justice,define
what is amylase,define
define hypertension,define
what is supply and demand,define
define a prime number,define
what is the Magna Carta,define
define free will,define
what is photosynthesis,define
define a derivative in calculus,define
what is the categorical imperative,define
define angular momentum,define
what is a recession,define
define a stem cell,define
what is opportunity cost,define
define a phase transition,define
what is the Bohr model,define
define an enzyme,define
what is hyperinflation,define
define moral relativism,define
what is RNA,define
define a stack data structure,define
what is a black hole,define
define an ecosystem,define
what is a hash function,define
define an irrational number,define
what is utilitarianism,define
define a quantum state,define
what is herd immunity,define
define inflation,define
what is the dual nature of light,define
define a polynomial,define
what is the social contract,define
define a virus,define
what is a neural network,define
define entropy in thermodynamics,define
what is myocardial infarction,define
define monopolistic competition,define
how does photosynthesis work,explain_process
explain the process of DNA replication,explain_process
how does an mRNA vaccine work,explain_process
explain the mechanism of action of aspirin,explain_process
how does a refrigerator cool the air,explain_process
how is a recession resolved,explain_process
explain how natural selection produces new species,explain_process
how does the immune system fight infection,explain_process
explain how an LC circuit oscillates,explain_process
how does the heart pump blood,explain_process
explain the Krebs cycle,explain_process
how does a laser produce coherent light,explain_process
explain how a transformer changes voltage,explain_process
how does insulin regulate blood sugar,explain_process
explain how stars produce light through fusion,explain_process
how does fractional reserve banking work,explain_process
explain the steps of cellular respiration,explain_process
how does a 4 stroke engine work,explain_process
explain how photosynthesis stores chemical energy,explain_process
how does the kidney filter waste,explain_process
explain how a quartz watch keeps time,explain_process
how does evolution by natural selection happen,explain_process
explain the working of a dialysis machine,explain_process
how does ohm's law apply in a series circuit,explain_process
explain the mechanism of a chemical reaction,explain_process
how does a sail boat move against the wind,explain_process
explain how a vaccine produces immunity,explain_process
how does antibiotic resistance develop,explain_process
explain the formation of a hurricane,explain_process
how does the federal reserve influence inflation,explain_process
explain how a passport works at a border,explain_process
how does GPS calculate position,explain_process
explain the mechanism of muscle contraction,explain_process
how does a cell divide during mitosis,explain_process
explain how a bridge supports a load,explain_process
how does an MRI machine produce an image,explain_process
