text,domain,intent,g,y,r
what is the derivative of x squared,math,define,0.80,0.15,0.05
compute the integral of cos(x) from 0 to pi,math,compute,0.90,0.08,0.02
solve x^2 - 4 = 0,math,compute,0.92,0.05,0.03
what is a continuous function,math,define,0.75,0.20,0.05
find the eigenvalues of a 2 by 2 matrix,math,compute,0.90,0.07,0.03
compare integration by parts and substitution,math,compare,0.65,0.25,0.10
why does the harmonic series diverge,math,interpret,0.55,0.30,0.15
summarize the foundations of set theory,math,summarize,0.50,0.30,0.20
find the roots of x^3 - 6x + 4 = 0,math,compute,0.92,0.05,0.03
what is the chain rule,math,define,0.78,0.17,0.05
predict the rate of growth of an exponential function,math,predict,0.60,0.35,0.05
compute 7 factorial,math,compute,0.95,0.04,0.01
what is a vector space,math,define,0.78,0.17,0.05
why is there no general formula for fifth degree polynomials,math,interpret,0.55,0.20,0.25
summarize the proof of the Pythagorean theorem,math,summarize,0.70,0.20,0.10
find the modular inverse of 3 mod 11,math,compute,0.92,0.05,0.03
what is mathematical induction,math,define,0.78,0.17,0.05
compare a permutation and a combination,math,compare,0.70,0.20,0.10
find the volume of a sphere of radius 5,math,compute,0.92,0.05,0.03
why is e^(i*pi) + 1 = 0 considered beautiful,math,interpret,0.50,0.20,0.30
compute the standard deviation of {1 2 3 4 5},math,compute,0.85,0.13,0.02
what is a homomorphism,math,define,0.78,0.17,0.05
predict the convergence of a geometric series with ratio 0.5,math,predict,0.65,0.30,0.05
summarize the development of non Euclidean geometry,math,summarize,0.40,0.25,0.35
find the area under y = x from 0 to 4,math,compute,0.92,0.05,0.03
what is the discriminant of a quadratic,math,define,0.85,0.10,0.05
compare the two main proofs of Fermats last theorem,math,compare,0.50,0.30,0.20
find the GCD of 36 and 84,math,compute,0.94,0.04,0.02
what is a metric space,math,define,0.78,0.17,0.05
why does the central limit theorem hold,math,interpret,0.60,0.30,0.10
solve sin(x) = 0.5 for x in (0 2*pi),math,compute,0.90,0.07,0.03
what is Bayes theorem,math,define,0.75,0.20,0.05
find the gradient of f(x y) = x^2 y at (1 2),math,compute,0.90,0.07,0.03
predict the limit of (1 + 1/n)^n as n grows,math,predict,0.85,0.10,0.05
summarize the structure of group theory,math,summarize,0.55,0.25,0.20
compute the kinetic energy of a 5 kg object at 10 m/s,physics,compute,0.85,0.13,0.02
what is angular momentum,physics,define,0.75,0.22,0.03
derive Newtons second law from F = ma,physics,explain_process,0.78,0.18,0.04
predict the orbital period of a satellite at 500 km,physics,predict,0.78,0.20,0.02
why is the speed of light constant in all frames,physics,interpret,0.55,0.30,0.15
compute the Doppler shift of a 100 Hz source moving at 30 m/s,physics,compute,0.85,0.13,0.02
what is the second law of thermodynamics,physics,define,0.70,0.25,0.05
predict the trajectory of a projectile launched at 45 degrees,physics,predict,0.85,0.13,0.02
how does an LC circuit oscillate,physics,explain_process,0.70,0.25,0.05
compare ohms law and kirchhoffs voltage law,physics,compare,0.65,0.30,0.05
why do superconductors expel magnetic fields,physics,interpret,0.55,0.40,0.05
compute the gravitational force between two 10 kg masses 1 m apart,physics,compute,0.92,0.06,0.02
what is the photoelectric effect,physics,define,0.65,0.30,0.05
derive the Schrodinger equation for a free particle,physics,explain_process,0.75,0.20,0.05
how does a transformer step up voltage,physics,explain_process,0.70,0.25,0.05
predict the de Broglie wavelength of a 1 kg ball at 1 m/s,physics,predict,0.85,0.13,0.02
why does time dilate near a black hole,physics,interpret,0.55,0.35,0.10
summarize special relativity,physics,summarize,0.50,0.35,0.15
compute the lift on a wing using Bernoulli approximation,physics,compute,0.65,0.32,0.03
compare the Bohr model and the quantum mechanical atom,physics,compare,0.55,0.40,0.05
derive the equation for centripetal acceleration,physics,explain_process,0.85,0.12,0.03
predict the period of a pendulum of length 0.5 m,physics,predict,0.88,0.10,0.02
why is entropy always increasing in isolated systems,physics,interpret,0.60,0.35,0.05
how does an MRI scan produce an image,physics,explain_process,0.55,0.40,0.05
compute the resistance of a 10 m copper wire of radius 1 mm,physics,compute,0.85,0.13,0.02
what is dark matter,physics,define,0.40,0.55,0.05
predict the eclipse path for the next year,physics,predict,0.85,0.13,0.02
compare the Carnot cycle and the Otto cycle,physics,compare,0.65,0.30,0.05
summarize quantum field theory in plain language,physics,summarize,0.50,0.35,0.15
why does electromagnetic induction work,physics,interpret,0.65,0.30,0.05
compute the orbital velocity at 300 km altitude,physics,compute,0.88,0.10,0.02
how does a laser produce coherent light,physics,explain_process,0.60,0.35,0.05
predict the temperature of a black hole of solar mass,physics,predict,0.65,0.30,0.05
what is the equivalence principle,physics,define,0.60,0.30,0.10
why is the universe expanding,physics,interpret,0.30,0.50,0.20
what is mitosis,biology,define,0.20,0.70,0.10
how does DNA replication work,biology,explain_process,0.15,0.75,0.10
compare prokaryotic and eukaryotic cells,biology,compare,0.15,0.75,0.10
why do organisms age,biology,interpret,0.10,0.60,0.30
summarize evolution by natural selection,biology,summarize,0.10,0.70,0.20
predict the impact of a keystone species removal,biology,predict,0.10,0.70,0.20
what is photosynthesis,biology,define,0.20,0.70,0.10
how do enzymes catalyze reactions,biology,explain_process,0.20,0.70,0.10
compare DNA and RNA,biology,compare,0.20,0.70,0.10
why do leaves change color in autumn,biology,interpret,0.15,0.65,0.20
summarize cellular respiration,biology,summarize,0.20,0.70,0.10
predict the spread of an invasive species in a new ecosystem,biology,predict,0.10,0.70,0.20
what is a stem cell,biology,define,0.15,0.75,0.10
how do antibodies recognize antigens,biology,explain_process,0.15,0.75,0.10
compare innate and adaptive immunity,biology,compare,0.15,0.75,0.10
why does sickle cell trait persist in malarial regions,biology,interpret,0.10,0.65,0.25
summarize the central dogma of molecular biology,biology,summarize,0.20,0.70,0.10
predict the population dynamics of a predator prey system,biology,predict,0.15,0.75,0.10
what is a gene,biology,define,0.20,0.70,0.10
how do plants reproduce,biology,explain_process,0.15,0.75,0.10
compare meiosis and mitosis,biology,compare,0.20,0.70,0.10
why do humans need sleep,biology,interpret,0.10,0.65,0.25
